Id;Proveedor;Adm  Impactos;Seguimiento;ID UM;Última actualización
801;Ubermetrics;AEPAP;Empresa (Ub);1359545374 1. Empresa;31/12/2020 08:49
802;Ubermetrics;AEPAP;Sector (Ub);1359545376 2. Sector;31/12/2020 08:51
826;Ubermetrics;AEPAP;SEHH (Ub);1411558833 SEHH;
827;Ubermetrics;AEPAP;Sirtex (Ub);1492769958 Sirtex;
896;Ubermetrics;ASEBIO;Empresa (Ub);1589201604 1. Empresa;
886;Ubermetrics;ASEMEVE;Empresa (Ub);1580809578 1. Empresa;
887;Ubermetrics;ASEMEVE;Sector (Ub);1580809579 2. Sector;
879;Ubermetrics;Asociación de Centros y Empresas de Hospitalización Privada;Empresa (Ub);1537884310 1. Empresa;
880;Ubermetrics;Asociación de Centros y Empresas de Hospitalización Privada;Sector (Ub);1537884311 2. Sector;
892;Ubermetrics;Berbés;Empresa (Ub);1587994460 1. Empresa;
805;Ubermetrics;Bial;Bial (Ub);1359971081 BIAL;31/12/2020 08:59
804;Ubermetrics;Bial;Empresa (Ub);1359971080 1. Empresa;31/12/2020 09:01
843;Ubermetrics;Celgene;Celgene (Ub);1546593618 Celgene;
835;Ubermetrics;Celgene;Psoriasis Apremilast OTEZLA (Celgene) (Ub);1425400500 Psoriasis Apremilast OTEZLA (Celgene);
878;Ubermetrics;Coloplast;Competencia (Ub);1537519760 3. Competencia;
877;Ubermetrics;Coloplast;Empresa (Ub);1537519758 1. Empresa;
876;Ubermetrics;CUTERA SPAIN, S.L.;Competencia (Ub);1529408394 3. Competencia;
874;Ubermetrics;CUTERA SPAIN, S.L.;Empresa (Ub);1529408392 1. Empresa;
875;Ubermetrics;CUTERA SPAIN, S.L.;Sector (Ub);1529408393 2. Sector;
872;Ubermetrics;FUNDACION INSTITUTO ROCHE;Competencia (Ub);1490701470 3. Competencia;
809;Ubermetrics;FUNDACION INSTITUTO ROCHE;Fundación Instituto Roche (Ub);1490701468 1. Fundación Instituto Roche;31/12/2020 09:10
810;Ubermetrics;FUNDACION INSTITUTO ROCHE;Noticias MPP (Ub);1490701469 2. Noticias MPP;31/12/2020 09:12
873;Ubermetrics;FUNDACION INSTITUTO ROCHE;Roche (Ub);1549528734 Roche;
786;Ubermetrics;Fundación Manantial;Fundación Manantial (Ub);1558513624 Fundación Manantial;31/12/2020 09:14
894;Ubermetrics;Fundación Recover;Empresa (Ub);1588589748 1. Empresa;
895;Ubermetrics;Fundación Recover;Sector (Ub);1588589749 2. Sector;
806;Ubermetrics;Grünenthal Pharma;Grunenthal (Ub);1359974377 1. Grünenthal;31/12/2020 09:22
846;Ubermetrics;Grünenthal Pharma;XI CONGRESO DE LA SED (Ub);1400515105 XI CONGRESO DE LA SED;
807;Ubermetrics;Grünenthal Pharma, Clipping dolor;Sector (Ub);1359974378 2. Sector;31/12/2020 09:23
821;Ubermetrics;GSK Institucional;Diabetes (Ub);1413447526 Diabetes;
796;Ubermetrics;GSK Institucional;GSK (Ub);1359539229 1. GSK;31/12/2020 09:26
797;Ubermetrics;GSK Institucional;Sector (Ub);1359539231 2. Sector;31/12/2020 09:30
822;Ubermetrics;GSK Institucional;Urología (Ub);1581673120 Urología;
794;Ubermetrics;GSK Lupus;Lupus (Ub);1359536054 1. GSK Lupus;31/12/2020 09:33
